Title,Authors,ISBN/UID,Read Status,Star Rating,Last Date Read
Gone Girl,Gillian Flynn,9780307588371,to-read,3.742424242424242,2026-02-12
A Gentleman in Moscow,Amor Towles,2573163720765,to-read,3.742424242424242,2026-02-12
Catching Fire,Suzanne Collins,9780439023498,to-read,3.742424242424242,2026-02-12
The Do-Over,Lynn Painter,9781534478879,to-read,3.742424242424242,2026-02-12
Past Present Future,Rachel Lynn Solomon,9781665901956,to-read,3.742424242424242,2026-02-12
The Castle of Otranto,Horace Walpole,9780192834409,to-read,3.742424242424242,2026-02-12
Crime and Punishment (Abridged),Fyodor Dostoevsky,9780143058144,did-not-finish,3.742424242424242,2026-02-12
Catch-22,Joseph Heller,9780684833392,to-read,3.742424242424242,2026-02-12
Invisible Man,Ralph Ellison,9780241970560,to-read,3.742424242424242,2026-02-12
Brave New World,Aldous Huxley,9780060929879,to-read,3.742424242424242,2026-02-12
Book Lovers,Emily Henry,9780593440872,read,5.0,2025-06-02
Once Upon a Broken Heart,Stephanie Garber,9781250268396,to-read,3.742424242424242,2026-02-12
"A Hope More Powerful Than the Sea: One Refugee's Incredible Story of Love, Loss, and Survival",Melissa Fleming,9781250105998,to-read,3.742424242424242,2026-02-12
Awkward,Svetlana Chmakova,9780316381307,to-read,3.742424242424242,2026-02-12
The Soulmate Equation,Christina Lauren,9781982171117,to-read,3.742424242424242,2026-02-12
Othello,William Shakespeare,9781986849401,to-read,3.742424242424242,2026-02-12
The Fault in Our Stars,John Green,9780143567592,to-read,3.742424242424242,2026-02-12
This Side of Paradise,F. Scott Fitzgerald,9780684843780,to-read,3.742424242424242,2026-02-12
A Little Life,Hanya Yanagihara,9780385539258,to-read,3.742424242424242,2026-02-12
To Kill a Mockingbird,Harper Lee,1784752630,to-read,3.742424242424242,2026-02-12
My Mechanical Romance,Alexene Farol Follmuth,9780823450107,to-read,3.742424242424242,2026-02-12
Loathe to Love You,Ali Hazelwood,9781408726778,read,4.5,2026-01-28
The Martian,Andy Weir,9780804139021,to-read,3.742424242424242,2026-02-12
Amari and the Great Game,B.B. Alston,9780062975195,to-read,3.742424242424242,2026-02-12
The Love Hypothesis,Ali Hazelwood,9780593336823,read,3.742424242424242,2022-12-19
The Canterville Ghost,Oscar Wilde,8742974410,to-read,3.742424242424242,2026-02-12
I Believe in a Thing Called Love,Maurene Goo,9780374304041,read,4.0,2024-07-16
All My Sons,Arthur Miller,9780141185460,to-read,3.742424242424242,2026-02-12
Nineteen Eighty-Four,George Orwell,9780452284234,read,5.0,2025-01-23
Number the Stars,Lois Lowry,9780440227533,to-read,3.742424242424242,2026-02-12
Lessons in Chemistry,Bonnie Garmus,3309645106297,to-read,3.742424242424242,2026-02-12
"Moby-Dick: Or, the Whale",Herman Melville,9780142437247,to-read,3.742424242424242,2026-02-12
I Hope This Doesn't Find You,Ann Liang,9781338827156,to-read,3.742424242424242,2026-02-12
There Are No Children Here: The Story of Two Boys Growing Up in the Other America,Alex Kotlowitz,9780385265560,to-read,3.742424242424242,2026-02-12
A Raisin in the Sun,Lorraine Hansberry,9780375508332,to-read,3.742424242424242,2026-02-12
Death of a Salesman,Arthur Miller,9780435233075,to-read,3.742424242424242,2026-02-12
Mùa hè không tên,"Nguyễn Nhật Ánh, Đỗ Hoàng Tường",9786041237742,to-read,3.742424242424242,2026-02-12
The Book Thief,Markus Zusak,2044893314875,to-read,3.742424242424242,2026-02-12
If You Could See the Sun,Ann Liang,9781335915849,to-read,3.742424242424242,2026-02-12
On the Come Up,Angie Thomas,6286269280839,to-read,3.742424242424242,2026-02-12
Not Another Love Song,Julie Soto,9781538740910,to-read,3.742424242424242,2026-02-12
Emily Windsnap and the Siren's Secret,Liz Kessler,9781842556863,to-read,3.742424242424242,2026-02-12
Immortality: A Love Story,Dana Schwartz,9781250861016,to-read,3.742424242424242,2026-02-12
The Tempest,William Shakespeare,9727283049931,to-read,3.742424242424242,2026-02-12
The Little Friend,Donna Tartt,9781400031696,to-read,3.742424242424242,2026-02-12
Refugee,Alan Gratz,9780545880879,to-read,3.742424242424242,2026-02-12
Circe,Madeline Miller,9780316556347,to-read,3.742424242424242,2026-02-12
Beloved Oxford,Dương Thụy,1199382120229,read,0.25,2026-01-23
I Am Not Jessica Chen,Ann Liang,9781335523129,to-read,3.742424242424242,2026-02-12
The Count of Monte Cristo,Alexandre Dumas,9780140449266,to-read,3.742424242424242,2026-02-12
The Prince and the Pauper,Mark Twain,9780451528353,to-read,3.742424242424242,2026-02-12
The Lord of the Rings,J.R.R. Tolkien,9780618640157,to-read,3.742424242424242,2026-02-12
Orlando,Virginia Woolf,9780141184272,to-read,3.742424242424242,2026-02-12
The Odyssey,Homer,9780143039952,to-read,3.742424242424242,2026-02-12
Mere Mortals,Erin Jade Lange,9780063219113,read,3.0,2026-02-12
A Streetcar Named Desire,Tennessee Williams,9780822210894,to-read,3.742424242424242,2026-02-12
The Seven Year Slip,Ashley Poston,8387056229432,to-read,3.742424242424242,2026-02-12
Antony and Cleopatra,William Shakespeare,9780743482851,to-read,3.742424242424242,2026-02-12
The Handmaid's Tale,Margaret Atwood,9780385490818,to-read,3.742424242424242,2026-02-12
The Outsiders,S.E. Hinton,9780142407332,to-read,3.742424242424242,2026-02-12
The Lost Hero,Rick Riordan,9781423113393,to-read,3.742424242424242,2026-02-12
The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Michelle Alexander,9781595585301,read,4.0,2025-06-13
Literature From Around the World,Prentice Hall,5484448291992,to-read,3.742424242424242,2026-02-12
The Pickwick Papers,Charles Dickens,9780141442525,to-read,3.742424242424242,2026-02-12
The Sun Also Rises,Ernest Hemingway,8345707566973,to-read,3.742424242424242,2026-02-12
Amari and the Great Game,B.B. Alston,9798200852253,to-read,3.742424242424242,2026-02-12
Just Mercy,Bryan Stevenson,9780399589904,to-read,3.742424242424242,2026-02-12
The Seven Year Slip,Ashley Poston,9780008566616,to-read,3.742424242424242,2026-02-12
Bad Blood,Jennifer Lynn Barnes,9781484757321,to-read,3.742424242424242,2026-02-12
Projekt 1065: A Novel of World War II,Alan Gratz,9780545880169,to-read,3.742424242424242,2026-02-12
The Joy Luck Club,Amy Tan,0804106304,to-read,3.742424242424242,2026-02-12
Famous Last Words,Gillian McAllister,9780063338425,to-read,3.742424242424242,2026-02-12
Praise of Folly,Desiderius Erasmus,9780140446081,to-read,3.742424242424242,2026-02-12
Nicholas Nickleby,Charles Dickens,9780140435122,to-read,3.742424242424242,2026-02-12
Normal People,Sally Rooney,9781984822178,to-read,3.742424242424242,2026-02-12
The Joy Luck Club,Amy Tan,0399134204,to-read,3.742424242424242,2026-02-12
Amari and the Night Brothers,B.B. Alston,9780062975164,to-read,3.742424242424242,2026-02-12
The Prince,Niccolò Machiavelli,9780937832387,to-read,3.742424242424242,2026-02-12
Call Me By Your Name,André Aciman,9781786495259,to-read,3.742424242424242,2026-02-12
Heart of Darkness,Joseph Conrad,9781892295491,to-read,3.742424242424242,2026-02-12
The Jungle,Upton Sinclair,9781884365300,to-read,3.742424242424242,2026-02-12
As Brave as You,Jason Reynolds,9781481415903,to-read,3.742424242424242,2026-02-12
By Your Side,Kasie West,9780062455864,to-read,3.742424242424242,2026-02-12
Their Eyes Were Watching God,Zora Neale Hurston,9780061120060,to-read,3.742424242424242,2026-02-12
Jane Eyre,Charlotte Brontë,9780142437209,to-read,3.742424242424242,2026-02-12
Martha Graham: A Dancer's Life,Russell Freedman,6273936994594,read,4.0,2024-12-20
Richard III,William Shakespeare,9780192839930,to-read,3.742424242424242,2026-02-12
Tuổi trẻ và tình yêu : thiền cho tuổi trẻ,Chân Pháp Đăng,6292928533284,to-read,3.742424242424242,2026-02-12
Funny Story,Emily Henry,9780593826287,to-read,3.742424242424242,2026-02-12
Lessons in Chemistry,Bonnie Garmus,978038554734X,to-read,3.742424242424242,2026-02-12
Pride and Prejudice,Jane Austen,9781441341709,read,4.0,2025-05-30
Frankenstein: The 1818 Text,Mary Shelley,9780143131847,to-read,3.742424242424242,2026-02-12
Buổi Chiều Windows,Nguyễn Nhật Ánh,9786041004665,currently-reading,3.742424242424242,2026-02-12
Uncle Tom's Cabin,Harriet Beecher Stowe,9781593081218,to-read,3.742424242424242,2026-02-12
Ghost Boys,Jewell Parker Rhodes,9781549172427,to-read,3.742424242424242,2026-02-12
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,9781501139239,to-read,3.742424242424242,2026-02-12
Othello,William Shakespeare,9780451501622,to-read,3.742424242424242,2026-02-12
Icebreaker,Hannah Grace,9788702415346,read,1.0,2024-06-09
If Only I Had Told Her,Laura Nowlin,9798350836448,to-read,3.742424242424242,2026-02-12
Dear Martin,Nic Stone,9781398505759,to-read,3.742424242424242,2026-02-12
Little Dorrit,Charles Dickens,9781542915250,to-read,3.742424242424242,2026-02-12
Romeo and Juliet,William Shakespeare,9780241288207,to-read,3.742424242424242,2026-02-12
The Complete Sherlock Holmes,Arthur Conan Doyle,9781937994303,to-read,3.742424242424242,2026-02-12
Before We Were Yours,Lisa Wingate,9780425284681,to-read,3.742424242424242,2026-02-12
The Giver,Lois Lowry,9780385732550,to-read,3.742424242424242,2026-02-12
The Canterbury Tales,Geoffrey Chaucer,9780140424386,to-read,3.742424242424242,2026-02-12
The Stranger,Albert Camus,0394700023,to-read,3.742424242424242,2026-02-12
Of Mice and Men,John Steinbeck,9780142000670,read,4.0,2025-01-12
Kafka on the Shore,Haruki Murakami,9781400079278,to-read,3.742424242424242,2026-02-12
Clap When You Land,Elizabeth Acevedo,9780062882769,to-read,3.742424242424242,2026-02-12
A Court of Silver Flames,Sarah J. Maas,9781681196282,to-read,3.742424242424242,2026-02-12
The Midnight Library,Matt Haig,9780525559474,to-read,3.742424242424242,2026-02-12
Each Little Bird That Sings,Deborah Wiles,9780152056575,to-read,3.742424242424242,2026-02-12
A Midsummer's Night Dream,William Shakespeare,4834106219121,read,4.0,2025-03-01
Night,Elie Wiesel,9780374500016,read,5.0,2025-12-30
A Clockwork Orange,Anthony Burgess,9780393341768,to-read,3.742424242424242,2026-02-12
Problematic Summer Romance,Ali Hazelwood,9798217188123,to-read,3.742424242424242,2026-02-12
Emma,Jane Austen,9780141439587,to-read,3.742424242424242,2026-02-12
All of Our Demise,"C.L. Herman, Amanda Foody",9781250789358,to-read,3.742424242424242,2026-02-12
Shakespeare's Sonnets,William Shakespeare,9781903436578,to-read,3.742424242424242,2026-02-12
The Princess Bride,William Goldman,9780345418265,to-read,3.742424242424242,2026-02-12
Life is Messy,Matthew Kelly,9781635822007,to-read,3.742424242424242,2026-02-12
P.S. I Still Love You,Jenny Han,9781442426733,to-read,3.742424242424242,2026-02-12
The Brothers Karamazov,Fyodor Dostoevsky,9780374528379,to-read,3.742424242424242,2026-02-12
The Song of Achilles,Madeline Miller,3586770127555,to-read,3.742424242424242,2026-02-12
Sunrise on the Reaping,Suzanne Collins,9781546171461,to-read,3.742424242424242,2026-02-12
Amari and the Night Brothers,B.B. Alston,9781867518020,to-read,3.742424242424242,2026-02-12
Ghost Boys,Jewell Parker Rhodes,9781432873738,read,3.742424242424242,2026-02-12
Don't Be In Love,Liana Cincotti,1639745636454,to-read,3.742424242424242,2026-02-12
The Glass Menagerie,Tennessee Williams,9780811214049,read,5.0,2024-11-06
Phòng Trọ Ba Người,Nguyễn Nhật Ánh,9786041005280,to-read,3.742424242424242,2026-02-12
To All the Boys I've Loved Before,Jenny Han,9781442426719,to-read,3.742424242424242,2026-02-12
A Court of Frost and Starlight,Sarah J. Maas,9781635575620,read,4.0,2024-07-02
The Color Purple,Alice Walker,9780143135692,to-read,3.742424242424242,2026-02-12
Nắm Tay Anh Rồi Bình Yên Sẽ Tới,Du Phong,3935732372739,to-read,3.742424242424242,2026-02-12
Towers Falling,Jewell Parker Rhodes,9780316262224,to-read,3.742424242424242,2026-02-12
Anne of Green Gables,L.M. Montgomery,9780451528827,to-read,3.742424242424242,2026-02-12
Sapiens: A Brief History of Humankind,Yuval Noah Harari,1388994328902,to-read,3.742424242424242,2026-02-12
Wuthering Heights,Emily Brontë,9780141439556,to-read,3.742424242424242,2026-02-12
Malice,Heather Walter,9781984818652,to-read,3.742424242424242,2026-02-12
The Merchant of Venice,William Shakespeare,9780743477567,to-read,3.742424242424242,2026-02-12
Ethan Frome,Edith Wharton,9781566196741,to-read,3.742424242424242,2026-02-12
The Maze Runner,James Dashner,9780385737944,to-read,3.742424242424242,2026-02-12
The Scarlet Letter,Nathaniel Hawthorne,9781375922692,to-read,3.742424242424242,2026-02-12
The Hunger Games,Suzanne Collins,9781407132082,to-read,3.742424242424242,2026-02-12
Check & Mate,Ali Hazelwood,9780593619919,to-read,3.742424242424242,2026-02-12
Macbeth: Moment by Moment,"Carmen Kahn, William Shakespeare, William Shakespeare, Jack Armstrong",9780998809106,to-read,3.742424242424242,2026-02-12
The Hate U Give,Angie Thomas,9780062498533,to-read,3.742424242424242,2026-02-12
Don't Be In Love,Liana Cincotti,9798832596426,to-read,3.742424242424242,2026-02-12
Animal Farm,George Orwell,9780451526342,read,4.75,2026-01-08
The Upside of Falling,Alex Light,9780062918055,to-read,3.742424242424242,2026-02-12
Mary Queen of Scotland and the Isles,Margaret George,9780312155858,to-read,3.742424242424242,2026-02-12
The Secret History,Donna Tartt,9781400031702,to-read,3.742424242424242,2026-02-12
The Plague,Albert Camus,9780140180206,to-read,3.742424242424242,2026-02-12
Eleanor & Park,Rainbow Rowell,9781250012579,to-read,3.742424242424242,2026-02-12
The American Roommate Experiment,Elena Armas,9781668002773,to-read,3.742424242424242,2026-02-12
Little Women,Louisa May Alcott,4989663389216,to-read,3.742424242424242,2026-02-12
War and Peace ,Leo Tolstoy,9780192833983,to-read,3.742424242424242,2026-02-12
Anatomy: A Love Story,Dana Schwartz,9780349433363,to-read,3.742424242424242,2026-02-12
We Are Not Free,Traci Chee,9780358131434,read,4.0,2024-08-16
Icebreaker,Hannah Grace,9781398543331,read,1.0,2024-06-09
Great Expectations,Charles Dickens,9780192833594,to-read,3.742424242424242,2026-02-12
The Chronicles of Women in White Coats,"Mia Ben MD, Kena Shah Do, Natasha Sriraman MD",9781987634662,to-read,3.742424242424242,2026-02-12
The Age of Innocence,Edith Wharton,9781593081430,to-read,3.742424242424242,2026-02-12
